C,C1,C2
7.189999999999999e-10,3.9e-11,6.799999999999999e-10
7.2e-10,3.3e-10,3.9e-10
7.2e-10,3.9e-10,3.3e-10
7.27e-10,6.799999999999999e-10,4.7e-11
7.27e-10,4.7e-11,6.799999999999999e-10
7.359999999999999e-10,6.799999999999999e-10,5.6e-11
7.359999999999999e-10,5.6e-11,6.799999999999999e-10
7.399999999999999e-10,1.8e-10,5.599999999999999e-10
7.399999999999999e-10,2.7e-10,4.699999999999999e-10
7.399999999999999e-10,4.699999999999999e-10,2.7e-10
7.399999999999999e-10,5.599999999999999e-10,1.8e-10
7.479999999999999e-10,6.799999999999999e-10,6.8e-11
7.479999999999999e-10,6.8e-11,6.799999999999999e-10
7.62e-10,6.799999999999999e-10,8.2e-11
7.62e-10,8.2e-11,6.799999999999999e-10
7.799999999999999e-10,9.999999999999999e-11,6.799999999999999e-10
7.799999999999999e-10,2.2e-10,5.599999999999999e-10
7.799999999999999e-10,5.599999999999999e-10,2.2e-10
7.799999999999999e-10,6.799999999999999e-10,9.999999999999999e-11
7.8e-10,3.9e-10,3.9e-10
7.999999999999999e-10,1.2e-10,6.799999999999999e-10
7.999999999999999e-10,3.3e-10,4.699999999999999e-10
7.999999999999999e-10,4.699999999999999e-10,3.3e-10
7.999999999999999e-10,6.799999999999999e-10,1.2e-10
8.2e-10,0,8.2e-10
8.2e-10,8.2e-10,0
8.299999999999999e-10,1.5e-10,6.799999999999999e-10
8.299999999999999e-10,2.7e-10,5.599999999999999e-10
8.299999999999999e-10,5.599999999999999e-10,2.7e-10
8.299999999999999e-10,6.799999999999999e-10,1.5e-10
8.299999999999999e-10,8.2e-10,1e-11
8.299999999999999e-10,1e-11,8.2e-10
8.319999999999999e-10,8.2e-10,1.2e-11
8.319999999999999e-10,1.2e-11,8.2e-10
8.349999999999999e-10,8.2e-10,1.5e-11
8.349999999999999e-10,1.5e-11,8.2e-10
8.38e-10,8.2e-10,1.8e-11
8.38e-10,1.8e-11,8.2e-10
8.42e-10,8.2e-10,2.1999999999999998e-11
8.42e-10,2.1999999999999998e-11,8.2e-10
8.47e-10,8.2e-10,2.7e-11
8.47e-10,2.7e-11,8.2e-10
8.53e-10,8.2e-10,3.3e-11
8.53e-10,3.3e-11,8.2e-10
8.589999999999999e-10,8.2e-10,3.9e-11
8.589999999999999e-10,3.9e-11,8.2e-10
8.599999999999999e-10,1.8e-10,6.799999999999999e-10
8.599999999999999e-10,3.9e-10,4.699999999999999e-10
8.599999999999999e-10,4.699999999999999e-10,3.9e-10
8.599999999999999e-10,6.799999999999999e-10,1.8e-10
8.67e-10,8.2e-10,4.7e-11
8.67e-10,4.7e-11,8.2e-10
8.76e-10,8.2e-10,5.6e-11
8.76e-10,5.6e-11,8.2e-10
8.879999999999999e-10,8.2e-10,6.8e-11
8.879999999999999e-10,6.8e-11,8.2e-10
8.899999999999999e-10,3.3e-10,5.599999999999999e-10
8.899999999999999e-10,5.599999999999999e-10,3.3e-10
8.999999999999999e-10,2.2e-10,6.799999999999999e-10
8.999999999999999e-10,6.799999999999999e-10,2.2e-10
9.02e-10,8.2e-10,8.2e-11
9.02e-10,8.2e-11,8.2e-10
9.199999999999999e-10,9.999999999999999e-11,8.2e-10
9.199999999999999e-10,8.2e-10,9.999999999999999e-11
9.399999999999999e-10,4.699999999999999e-10,4.699999999999999e-10
9.4e-10,1.2e-10,8.2e-10
9.4e-10,8.2e-10,1.2e-10
9.499999999999998e-10,2.7e-10,6.799999999999999e-10
9.499999999999998e-10,3.9e-10,5.599999999999999e-10
9.499999999999998e-10,5.599999999999999e-10,3.9e-10
9.499999999999998e-10,6.799999999999999e-10,2.7e-10
9.7e-10,1.5e-10,8.2e-10
9.7e-10,8.2e-10,1.5e-10
9.999999999999999e-10,1.8e-10,8.2e-10
9.999999999999999e-10,8.2e-10,1.8e-10
1e-09,0,1e-09
1e-09,1e-09,0
1.01e-09,1e-09,1e-11
